run_time,dataset,od,is_valid,size_lhs,size_rhs,mean_time,min_time,quart25_time,median_time,quart75_time,max_time
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,1↓] -> [0↓,1↑,2↑]",True,2,3,00:00:00.0000018,00:00:00.0000011,00:00:00.0000014,00:00:00.0000016,00:00:00.0000019,00:00:00.0000533
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓] -> [0↓,3↑,1↓]",True,1,3,00:00:00.0000011,00:00:00.0000007,00:00:00.0000009,00:00:00.0000010,00:00:00.0000013,00:00:00.0000077
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓] -> [0↓,2↑,3↑,1↓]",False,1,4,00:00:00.0000015,00:00:00.0000009,00:00:00.0000011,00:00:00.0000013,00:00:00.0000016,00:00:00.0000816
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,3↓] -> [0↑,3↑,2↑,1↓]",True,2,4,00:00:00.0000019,00:00:00.0000012,00:00:00.0000014,00:00:00.0000016,00:00:00.0000019,00:00:00.0001837
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑] -> [0↑,2↑,3↑,1↑]",True,1,4,00:00:00.0000013,00:00:00.0000009,00:00:00.0000011,00:00:00.0000012,00:00:00.0000015,00:00:00.0000133
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[1↑,0↓,2↓,3↓] -> [1↑,0↓,3↑,2↑]",False,4,4,00:00:00.0000041,00:00:00.0000031,00:00:00.0000036,00:00:00.0000039,00:00:00.0000042,00:00:00.0000561
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,3↑] -> [0↑,3↓,1↓]",False,2,3,00:00:00.0000017,00:00:00.0000011,00:00:00.0000014,00:00:00.0000016,00:00:00.0000018,00:00:00.0000150
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑] -> [0↑,1↑]",True,1,2,00:00:00.0000009,00:00:00.0000006,00:00:00.0000007,00:00:00.0000008,00:00:00.0000010,00:00:00.0000145
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,1↓,3↓,2↑] -> [0↑,3↑,1↑,2↓]",True,4,4,00:00:00.0000033,00:00:00.0000025,00:00:00.0000029,00:00:00.0000030,00:00:00.0000033,00:00:00.0001399
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,1↑,3↑] -> [0↓,3↑,1↓,2↑]",False,3,4,00:00:00.0000021,00:00:00.0000013,00:00:00.0000018,00:00:00.0000020,00:00:00.0000023,00:00:00.0000152
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,3↓] -> [0↓,2↑,3↑]",False,2,3,00:00:00.0000038,00:00:00.0000011,00:00:00.0000014,00:00:00.0000017,00:00:00.0000019,00:00:00.0020926
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,3↓,2↓] -> [0↑,1↑]",True,3,2,00:00:00.0000030,00:00:00.0000020,00:00:00.0000025,00:00:00.0000027,00:00:00.0000029,00:00:00.0001173
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,3↑] -> [0↓,1↓,2↓]",True,2,3,00:00:00.0000018,00:00:00.0000011,00:00:00.0000013,00:00:00.0000016,00:00:00.0000018,00:00:00.0001459
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓] -> [0↓,3↑,1↓]",False,1,3,00:00:00.0000011,00:00:00.0000007,00:00:00.0000009,00:00:00.0000010,00:00:00.0000013,00:00:00.0000057
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,2↓,3↓,1↑] -> [0↑,1↑,2↓]",True,4,3,00:00:00.0000032,00:00:00.0000025,00:00:00.0000029,00:00:00.0000030,00:00:00.0000033,00:00:00.0000269
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,1↑] -> [0↑,2↓,3↓]",False,2,3,00:00:00.0000016,00:00:00.0000011,00:00:00.0000013,00:00:00.0000016,00:00:00.0000018,00:00:00.0000148
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑] -> [0↑,3↑]",True,1,2,00:00:00.0000010,00:00:00.0000006,00:00:00.0000007,00:00:00.0000008,00:00:00.0000011,00:00:00.0000961
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,2↑] -> [0↑,1↓]",True,2,2,00:00:00.0000016,00:00:00.0000010,00:00:00.0000013,00:00:00.0000016,00:00:00.0000018,00:00:00.0000289
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓] -> [0↓,3↓,2↑,1↑]",False,1,4,00:00:00.0000015,00:00:00.0000009,00:00:00.0000011,00:00:00.0000013,00:00:00.0000016,00:00:00.0000538
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑] -> [0↑,2↓,1↓,3↓]",False,1,4,00:00:00.0000014,00:00:00.0000009,00:00:00.0000011,00:00:00.0000013,00:00:00.0000016,00:00:00.0000146
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,1↑,3↑,2↓] -> [0↑,2↓,1↑]",False,4,3,00:00:00.0000033,00:00:00.0000024,00:00:00.0000028,00:00:00.0000030,00:00:00.0000033,00:00:00.0001340
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[1↑,0↓] -> [1↑,0↓,2↓]",False,2,3,00:00:00.0000018,00:00:00.0000012,00:00:00.0000015,00:00:00.0000018,00:00:00.0000020,00:00:00.0000526
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓] -> [0↓,3↑,1↓,2↓]",True,1,4,00:00:00.0000014,00:00:00.0000009,00:00:00.0000011,00:00:00.0000013,00:00:00.0000015,00:00:00.0000638
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,1↓,3↓,2↑] -> [0↓,3↓,2↑,1↑]",False,4,4,00:00:00.0000026,00:00:00.0000018,00:00:00.0000023,00:00:00.0000024,00:00:00.0000026,00:00:00.0000997
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓] -> [0↓,3↑,1↓,2↓]",False,1,4,00:00:00.0000014,00:00:00.0000008,00:00:00.0000011,00:00:00.0000013,00:00:00.0000015,00:00:00.0000148
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,3↑,2↓] -> [0↓,1↓,2↑]",False,3,3,00:00:00.0000030,00:00:00.0000020,00:00:00.0000026,00:00:00.0000027,00:00:00.0000029,00:00:00.0001456
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[1↑,0↓,2↓,3↓] -> [1↑,0↓,3↑,2↑]",True,4,4,00:00:00.0000044,00:00:00.0000031,00:00:00.0000036,00:00:00.0000039,00:00:00.0000042,00:00:00.0001398
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓] -> [0↓,2↓,1↓,3↓]",False,1,4,00:00:00.0000016,00:00:00.0000008,00:00:00.0000011,00:00:00.0000013,00:00:00.0000016,00:00:00.0001622
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓] -> [0↓,2↑]",True,1,2,00:00:00.0000009,00:00:00.0000006,00:00:00.0000007,00:00:00.0000008,00:00:00.0000011,00:00:00.0000111
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓] -> [0↓,3↓,1↑,2↑]",False,1,4,00:00:00.0000014,00:00:00.0000009,00:00:00.0000012,00:00:00.0000014,00:00:00.0000016,00:00:00.0000144
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,1↑,2↓,3↑] -> [0↓,3↓,1↑,2↓]",False,4,4,00:00:00.0000038,00:00:00.0000030,00:00:00.0000035,00:00:00.0000037,00:00:00.0000040,00:00:00.0000140
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[2↓,0↓] -> [2↓,0↓,3↑]",True,2,3,00:00:00.0000018,00:00:00.0000012,00:00:00.0000015,00:00:00.0000017,00:00:00.0000020,00:00:00.0000312
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,2↑,3↑,1↓] -> [0↓,2↑,1↑,3↑]",True,4,4,00:00:00.0000042,00:00:00.0000031,00:00:00.0000036,00:00:00.0000039,00:00:00.0000043,00:00:00.0000866
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,2↑,1↓] -> [0↓,1↑,3↓,2↓]",False,3,4,00:00:00.0000030,00:00:00.0000021,00:00:00.0000026,00:00:00.0000027,00:00:00.0000030,00:00:00.0001517
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[3↑,0↑,2↓,1↑] -> [3↑,0↑,1↑,2↓]",True,4,4,00:00:00.0000034,00:00:00.0000025,00:00:00.0000029,00:00:00.0000032,00:00:00.0000035,00:00:00.0000620
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[1↓,0↓,2↑] -> [1↓,0↓,3↑,2↓]",True,3,4,00:00:00.0000028,00:00:00.0000022,00:00:00.0000025,00:00:00.0000027,00:00:00.0000029,00:00:00.0000326
